Pokedex Entry,Number,Name
A strange seed was planted on its back at birth. The plant sprouts and grows with this POKéMON.,#001,Bulbasaur
"Very protective of its sprawling territorial area, this POKéMON will fiercely peck at any intruder.",#017,Pidgeotto
A common sight in forests and woods. It flaps its wings at ground level to kick up blinding sand.,#016,Pidgey
Flies at high speed and attacks using its large venomous stingers on its forelegs and tail.,#015,Beedrill
"Almost incapable of moving, this POKéMON can only harden its shell to protect itself from predators.",#014,Kakuna
"Often found in forests, eating leaves. It has a sharp venomous stinger on its head.",#013,Weedle
"In battle, it flaps its wings at high speed to release highly toxic dust into the air.",#012,Butterfree
"This POKéMON is vulnerable to attack while its shell is soft, exposing its weak and tender body.",#011,Metapod
Its short feet are tipped with suction pads that enable it to tirelessly climb slopes and walls.,#010,Caterpie
A brutal POKéMON with pressurized water jets on its shell. They are used for high speed tackles.,#009,Blastoise
"Often hides in water to stalk unwary prey. For swimming fast, it moves its ears to maintain balance.",#008,Wartortle
"After birth, its back swells and hardens into a shell. Powerfully sprays foam from its mouth.",#007,Squirtle
Spits fire that is hot enough to melt boulders. Known to cause forest fires unintentionally.,#006,Charizard
"When it swings its burning tail, it elevates the temperature to unbearably high levels.",#005,Charmeleon
"Obviously prefers hot places. When it rains, steam is said to spout from the tip of its tail.",#004,Charmander
The plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight.,#003,Venusaur
"It electrifies its claws and tears its opponents apart with them. Even if they dodge its attack, they’ll be electrocuted by the flying sparks.",#807,Zeraora
"It slithers toward people. Then, without warning, it triggers the explosion of its own head. It’s apparently one kind of Ultra Beast.",#806,Blacephalon
It appeared from an Ultra Wormhole. Each one appears to be made up of many life-forms stacked one on top of each other.,#805,Stakataka
It stores hundreds of liters of poisonous liquid inside its body. It is one of the organisms known as UBs.,#804,Naganadel
This Ultra Beast is well enough liked to be chosen as a first partner in its own world.,#803,Poipole
"Able to conceal itself in shadows, it never appears before humans, so its very existence was the stuff of myth.",#802,Marshadow
"This artificial Pokémon, constructed more than 500 years ago, can understand human speech but cannot itself speak.",#801,Magearna
"Reminiscent of the Ultra Beasts, this life-form, apparently asleep underground, is thought to have come from another world in ancient times.",#800,Necrozma
"It has gobbled mountains and swallowed whole buildings, according to reports. It’s one of the Ultra Beasts.",#799,Guzzlord
"This Ultra Beast came from the Ultra Wormhole. It seems not to attack enemies on its own, but its sharp body is a dangerous weapon in itself.",#798,Kartana
It appeared from the Ultra Wormhole. Witnesses observed it flying across the sky at high speed.,#797,Celesteela
"One of the mysterious life-forms known as Ultra Beasts. Astonishing electric shocks emanate from its entire body, according to witnesses.",#796,Xurkitree
"One of the dangerous Ultra Beasts, it has been spotted running across the land at terrific speeds.",#795,Pheromosa
"This Ultra Beast appeared from another world. It shows off its body, but whether that display is a boast or a threat remains unclear.",#794,Buzzwole
One of several mysterious Ultra Beasts. People on the street report observing those infested by it suddenly becoming violent.,#793,Nihilego
"It is said to be a female evolution of Cosmog. When its third eye activates, away it flies to another world.",#792,Lunala
It is said to live in another world. The intense light it radiates from the surface of its body can make the darkest of nights light up like midday.,#791,Solgaleo
"Motionless as if dead, its body is faintly warm to the touch. In the distant past, it was called the cocoon of the stars.",#790,Cosmoem
The dense fog it creates brings the downfall and destruction of its confused enemies. Ocean currents are the source of its energy.,#788,Tapu Fini
Its body is gaseous and frail. It slowly grows as it collects dust from the atmosphere.,#789,Cosmog
"It pulls large trees up by the roots and swings them around. It causes vegetation to grow, and then it absorbs energy from the growth.",#787,Tapu Bulu
This guardian deity of Akala is guilelessly cruel. The fragrant aroma of flowers is the source of its energy.,#786,Tapu Lele
This guardian deity of Melemele is brimming with curiosity. It summons thunderclouds and stores their lightning inside its body.,#785,Tapu Koko
"When it spots enemies, it threatens them by jingling the scales on its tail. Weak opponents will crack and flee in panic.",#784,Kommo-o
It leaps at its prey with a courageous shout. Its scaly punches tear its opponents to shreds.,#783,Hakamo-o
It expresses its feelings by smacking its scales. Metallic sounds echo through the tall mountains where Jangmo-o lives.,#782,Jangmo-o
"Swinging its massive anchor, it can KO Wailord in a single blow. What appears to be green seaweed is actually its body.",#781,Dhelmise
"It has a compassionate personality, but if it is angered, it completely destroys its surroundings with its intense breath.",#780,Drampa
"When it unleashes its psychic power from the protuberance on its head, the grating sound of grinding teeth echoes through the area.",#779,Bruxish
Its actual appearance is unknown. A scholar who saw what was under its rag was overwhelmed by terror and died from the shock.,#778,Mimikyu
"The spiny fur on its back is normally at rest. When this Pokémon becomes agitated, its fur stands on end and stabs into its attackers.",#777,Togedemaru
The shell on its back is chemically unstable and explodes violently if struck. The hole in its stomach is its weak point.,#776,Turtonator
"It is born asleep, and it dies asleep. All its movements are apparently no more than the results of it tossing and turning in its dreams.",#775,Komala
"Originally making its home in the ozone layer, it hurtles to the ground when the shell enclosing its body grows too heavy.",#774,Minior
"Its trust in its partner is what awakens it. This Pokémon is capable of changing its type, a flexibility that is well displayed in battle.",#773,Silvally
The heavy control mask it wears suppresses its intrinsic capabilities. This Pokémon has some hidden special power.,#772,Type: Null
"It lives in shallow seas, such as areas near a beach. It can eject its internal organs, which it uses to engulf its prey or battle enemies.",#771,Pyukumuku
"Possessed people controlled by this Pokémon transformed its sand mound into a castle. As it evolved, its power to curse grew ever stronger.",#770,Palossand
"Born from a sand mound playfully built by a child, this Pokémon embodies the grudges of the departed.",#769,Sandygast
"With a flashing slash of its giant sharp claws, it cleaves seawater—or even air—right in two.",#768,Golisopod
"This Pokémon is a coward. As it desperately dashes off, the flailing of its many legs leaves a sparkling clean path in its wake.",#767,Wimpod
They form groups of roughly 20 individuals. Their mutual bond is remarkable—they will never let down a comrade.,#766,Passimian
"Known for its extreme intelligence, this Pokémon will look down on inexperienced Trainers, so it’s best suited to veteran Trainers.",#765,Oranguru
"It attaches flowers to its highly nutritious vine. This revitalizes the flowers, and they give off an aromatic scent.",#764,Comfey
"Its long, striking legs aren’t just for show but to be used to kick with skill. In victory, it shows off by kicking the defeated, laughing boisterously.",#763,Tsareena
"The sepals on its head developed to protect its body. These are quite hard, so even if pecked by bird Pokémon, this Pokémon is totally fine.",#762,Steenee
A delectable aroma pours from its body. They are often swallowed whole by Toucannon lured by that wafting deliciousness.,#761,Bounsweet
This immensely dangerous Pokémon possesses overwhelming physical strength. Its habitat is generally off-limits.,#760,Bewear
"Despite its adorable appearance, when it gets angry and flails about, its arms and legs could knock a pro wrestler sprawling.",#759,Stufful
"For some reason, only females have been found. It creates a reverse harem of male Salandit that it lives with.",#758,Salazzle
"It burns its bodily fluids to create a poisonous gas. When its enemies become disoriented from inhaling the gas, it attacks them.",#757,Salandit
Forests where Shiinotic live are treacherous to enter at night. People confused by its strange lights can never find their way home again.,#756,Shiinotic
It scatters spores that flicker and glow. Anyone seeing these lights falls into a deep slumber.,#755,Morelull
"It requires a lot of effort to maintain Lurantis’s vivid coloring, but some collectors enjoy this work and treat it as their hobby.",#754,Lurantis
"During the day, it sleeps and soaks up light. When night falls, it walks around looking for a safer place to sleep.",#753,Fomantis
"It delivers headbutts with the water bubble on its head. Small Pokémon get sucked into the bubble, where they drown.",#752,Araquanid
It crawls onto the land in search of food. Its water bubble allows it to breathe and protects its soft head.,#751,Dewpider
"It spits a mud that provides resistance to both wind and rain, so the walls of old houses were often coated with it.",#750,Mudsdale
The mud stuck to Mudbray’s hooves enhances its grip and its powerful running gait.,#749,Mudbray
Toxapex crawls along the ocean floor on its 12 legs. It leaves a trail of Corsola bits scattered in its wake.,#748,Toxapex
"It plunges the poison spike on its head into its prey. When the prey has weakened, Mareanie deals the finishing blow with its 10 tentacles.",#747,Mareanie
"When it’s in trouble, its eyes moisten and begin to shine. The shining light attracts its comrades, and they stand together against their enemies.",#746,Wishiwashi
"Its quick movements confuse its enemies. Well equipped with claws and fangs, it also uses the sharp rocks in its mane as weapons.",#745,Lycanroc
"It’s considered to be a good Pokémon for beginners because of its friendliness, but its disposition grows rougher as it grows up.",#744,Rockruff
